patch_id,damage_iou
val_patch_00519,0.5380927010901388
val_patch_00164,0.5410607220300085
val_patch_00693,0.5411622275373896
val_patch_00479,0.5435591958244489
val_patch_00507,0.5446381405081064
val_patch_00387,0.5449652093928716
val_patch_00615,0.5471367841823672
val_patch_00482,0.5483039348698591
val_patch_00467,0.5489865899201687
val_patch_00170,0.5491107604376549
val_patch_00004,0.5494693598068379
val_patch_00673,0.5507688676054651
val_patch_00058,0.5519096855818536
val_patch_00247,0.5520504731643514
val_patch_00026,0.5521126759008133
val_patch_00661,0.5555555540123457
val_patch_00067,0.5558616889340414
val_patch_00460,0.5559431846360343
val_patch_00444,0.5595749029168242
val_patch_00094,0.5607624596271269
val_patch_00051,0.5635631116007228
val_patch_00049,0.5660551333802866
val_patch_00486,0.5706490522606168
val_patch_00627,0.5710306406367114
val_patch_00477,0.5715098094804802
val_patch_00492,0.5729331226659856
val_patch_00504,0.5743440233026843
val_patch_00530,0.5751430057052745
val_patch_00072,0.5754880694018333
val_patch_00364,0.5770925110093047
val_patch_00162,0.5801399434262615
val_patch_00629,0.5842541436406447
val_patch_00687,0.584597432871377
val_patch_00188,0.5847936214258537
val_patch_00532,0.585617657508522
val_patch_00045,0.58799909654379
val_patch_00084,0.5900131405889616
val_patch_00398,0.5932350390028953
val_patch_00408,0.5939421543999779
val_patch_00018,0.5950133364244578
val_patch_00167,0.5965363045665525
val_patch_00424,0.5990471799508369
val_patch_00441,0.5994727235733224
val_patch_00420,0.6021138345110172
val_patch_00113,0.6025878002583017
val_patch_00450,0.6033287100829868
val_patch_00123,0.6035950803877203
val_patch_00141,0.603843588460058
val_patch_00639,0.6040477888676529
val_patch_00008,0.6052437222819335
val_patch_00509,0.6105716898131642
val_patch_00528,0.6105738233266587
val_patch_00555,0.6109257714507538
val_patch_00523,0.613759479923415
val_patch_00399,0.6138204924537553
val_patch_00524,0.6156904978823984
val_patch_00521,0.6161254815573645
val_patch_00042,0.6166306375651733
val_patch_00442,0.6176967240588418
val_patch_00069,0.6199107230447203
val_patch_00211,0.6245353157529608
val_patch_00024,0.6277445109153947
val_patch_00313,0.6284289275240825
val_patch_00459,0.6324626865081657
val_patch_00539,0.6335006215741206
val_patch_00132,0.6347891565787056
val_patch_00348,0.6380255940332678
val_patch_00236,0.6384192957829393
val_patch_00463,0.6395786305011604
val_patch_00344,0.6402416207802414
val_patch_00573,0.6460396038004852
val_patch_00197,0.6549328228556314
val_patch_00230,0.6580735411644362
val_patch_00513,0.6606384320968569
val_patch_00187,0.6612903223139959
val_patch_00223,0.6622691292002284
val_patch_00057,0.6628767097365984
val_patch_00447,0.6645481952198765
val_patch_00326,0.6655405404955715
val_patch_00518,0.66590957788444
val_patch_00030,0.6672336372250154
val_patch_00621,0.6673968601557613
val_patch_00631,0.6676217764086502
val_patch_00036,0.6712684599147267
val_patch_00233,0.6772239052592772
val_patch_00464,0.6784808436745529
val_patch_00323,0.6806682829098731
val_patch_00641,0.6849442379023015
val_patch_00566,0.686513629792933
val_patch_00332,0.6899999999014286
val_patch_00199,0.7017543858417975
val_patch_00039,0.706577440159724
val_patch_00649,0.7179305456613798
val_patch_00656,0.7214912279119536
val_patch_00676,0.7239018562730936
val_patch_00000,0.7272727271625344
val_patch_00185,0.7273152631628303
val_patch_00384,0.7301587301465303
val_patch_00497,0.7325141776888163
val_patch_00239,0.7325227963247523
val_patch_00454,0.7354497353524537
val_patch_00108,0.7486904616792703
val_patch_00227,0.7634783122027783
val_patch_00657,0.769556025207282
val_patch_00316,0.7925266423743083
val_patch_00475,0.7925418569133555
val_patch_00214,0.8047138044428572
val_patch_00472,0.8301886789320042
val_patch_00643,0.8360655737500351
val_patch_00659,0.8413510747123749
val_patch_00301,0.8737270873984262
val_patch_00298,0.896713614812978
val_patch_00002,1.0
val_patch_00014,1.0
val_patch_00017,1.0
val_patch_00047,1.0
val_patch_00092,1.0
val_patch_00093,1.0
val_patch_00104,1.0
val_patch_00110,1.0
val_patch_00119,1.0
val_patch_00122,1.0
val_patch_00131,1.0
val_patch_00134,1.0
val_patch_00152,1.0
val_patch_00156,1.0
val_patch_00166,1.0
val_patch_00175,1.0
val_patch_00184,1.0
val_patch_00190,1.0
val_patch_00209,1.0
val_patch_00218,1.0
val_patch_00229,1.0
val_patch_00232,1.0
val_patch_00234,1.0
val_patch_00238,1.0
val_patch_00241,1.0
val_patch_00243,1.0
val_patch_00249,1.0
val_patch_00252,1.0
val_patch_00253,1.0
val_patch_00255,1.0
val_patch_00258,1.0
val_patch_00261,1.0
val_patch_00264,1.0
val_patch_00267,1.0
val_patch_00274,1.0
val_patch_00282,1.0
val_patch_00287,1.0
val_patch_00289,1.0
val_patch_00291,1.0
val_patch_00292,1.0
val_patch_00294,1.0
val_patch_00300,1.0
val_patch_00302,1.0
val_patch_00303,1.0
val_patch_00306,1.0
val_patch_00307,1.0
val_patch_00309,1.0
val_patch_00312,1.0
val_patch_00318,1.0
val_patch_00321,1.0
val_patch_00324,1.0
val_patch_00325,1.0
val_patch_00328,1.0
val_patch_00330,1.0
val_patch_00331,1.0
val_patch_00333,1.0
val_patch_00337,1.0
val_patch_00339,1.0
val_patch_00342,1.0
val_patch_00351,1.0
val_patch_00355,1.0
val_patch_00357,1.0
val_patch_00363,1.0
val_patch_00366,1.0
val_patch_00369,1.0
val_patch_00375,1.0
val_patch_00379,1.0
val_patch_00381,1.0
val_patch_00392,1.0
val_patch_00400,1.0
val_patch_00403,1.0
val_patch_00405,1.0
val_patch_00407,1.0
val_patch_00412,1.0
val_patch_00413,1.0
val_patch_00417,1.0
val_patch_00419,1.0
val_patch_00422,1.0
val_patch_00433,1.0
val_patch_00436,1.0
val_patch_00437,1.0
val_patch_00438,1.0
val_patch_00440,1.0
val_patch_00446,1.0
val_patch_00451,1.0
val_patch_00469,1.0
val_patch_00481,1.0
val_patch_00485,1.0
val_patch_00496,1.0
val_patch_00500,1.0
val_patch_00511,1.0
val_patch_00517,1.0
val_patch_00538,1.0
val_patch_00540,1.0
val_patch_00547,1.0
val_patch_00552,1.0
val_patch_00553,1.0
val_patch_00556,1.0
val_patch_00557,1.0
val_patch_00559,1.0
val_patch_00563,1.0
val_patch_00565,1.0
val_patch_00570,1.0
val_patch_00577,1.0
val_patch_00579,1.0
val_patch_00585,1.0
val_patch_00590,1.0
val_patch_00593,1.0
val_patch_00594,1.0
val_patch_00595,1.0
val_patch_00599,1.0
val_patch_00611,1.0
val_patch_00616,1.0
val_patch_00630,1.0
val_patch_00632,1.0
val_patch_00634,1.0
val_patch_00637,1.0
val_patch_00638,1.0
val_patch_00642,1.0
val_patch_00646,1.0
val_patch_00652,1.0
val_patch_00655,1.0
val_patch_00658,1.0
val_patch_00666,1.0
val_patch_00670,1.0
val_patch_00672,1.0
val_patch_00688,1.0
